sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
NA19308	LWK	AFR	240	148	285242	285133
HG01369	CLM	AMR	198	152	247132	264258
HG03698	STU	SAS	197	144	245710	263946
HG02794	PJL	SAS	171	157	247194	260829
NA21107	GIH	SAS	187	148	244304	263425
HG02272	PEL	AMR	155	159	199921	285761
HG02821	GWD	AFR	225	144	277179	282499
HG01323	PUR	AMR	201	148	259192	253180
HG01455	CLM	AMR	203	131	249255	258071
HG01932	PEL	AMR	177	145	224901	272603
HG03707	PJL	SAS	191	144	243052	261920
HG00423	CHS	EAS	187	150	228373	272691
HG00707	CHS	EAS	177	144	226231	272845
NA18749	CHB	EAS	180	151	227927	277029
HG04185	BEB	SAS	202	138	240290	265261
HG01698	IBS	EUR	189	132	247616	251604
NA18574	CHB	EAS	174	151	223954	277781
HG00180	FIN	EUR	174	140	241801	259431
HG01842	KHV	EAS	201	149	230947	273237
HG01868	KHV	EAS	184	153	228477	274745
HG01767	IBS	EUR	177	144	246216	254668
HG01748	IBS	EUR	189	131	246926	253433
HG02353	CDX	EAS	171	146	227779	276829
HG01850	KHV	EAS	178	155	231054	273622
HG00141	GBR	EUR	168	139	239796	259163
HG01352	CLM	AMR	191	139	247854	255484
HG01848	KHV	EAS	183	161	228845	274778
NA12749	CEU	EUR	183	126	239909	252348
NA18501	YRI	AFR	208	156	275946	283415
NA20892	GIH	SAS	196	144	239715	264769
NA18971	JPT	EAS	162	154	225738	277580
HG03926	BEB	SAS	189	140	246124	262498
HG01971	PEL	AMR	185	133	251104	266507
HG00706	CHS	EAS	171	143	228543	272232
HG03917	BEB	SAS	197	131	244529	261145
HG03844	STU	SAS	192	129	237748	265469
HG03799	BEB	SAS	173	138	244285	261599
NA19375	LWK	AFR	225	145	279652	286986
NA19436	LWK	AFR	237	147	284964	283941
HG02784	PJL	SAS	173	142	244112	261113
HG01348	CLM	AMR	183	130	242909	262320
NA18617	CHB	EAS	188	138	221763	277785
HG00629	CHS	EAS	165	144	227257	273496
NA18989	JPT	EAS	162	150	226012	277726
NA19734	MXL	AMR	190	138	239470	265494
NA18610	CHB	EAS	174	141	225616	276494
HG01986	ACB	AFR	215	154	282858	277880
HG01121	CLM	AMR	189	142	251917	256552
NA18630	CHB	EAS	179	141	230255	275780
HG03388	MSL	AFR	210	164	280784	289899
NA18986	JPT	EAS	172	140	227546	276789
NA18621	CHB	EAS	182	131	224668	279113
HG01943	PEL	AMR	183	148	222581	274205
NA18950	JPT	EAS	160	151	225216	277755
HG02140	KHV	EAS	183	156	229091	273870
HG01959	ACB	AFR	207	149	283073	275614
NA18954	JPT	EAS	160	147	227891	275897
NA18635	CHB	EAS	173	141	229701	275435
NA18970	JPT	EAS	147	157	228245	276962
NA20515	TSI	EUR	188	133	244539	257655
HG00671	CHS	EAS	175	138	230841	272389
HG00437	CHS	EAS	187	142	226665	273556
HG01920	PEL	AMR	158	158	205968	284229
HG01614	IBS	EUR	188	131	243816	254816
HG03756	STU	SAS	186	147	232479	270426
NA19065	JPT	EAS	181	144	224588	276170
HG02061	KHV	EAS	190	145	229323	273613
HG01385	CLM	AMR	195	137	252186	254549
NA18632	CHB	EAS	181	154	226772	277302
HG02677	GWD	AFR	220	163	278917	280676
HG03910	BEB	SAS	182	142	240259	265137
NA18948	JPT	EAS	140	160	225706	277424
HG01438	CLM	AMR	180	135	241236	257645
HG02030	KHV	EAS	194	148	231004	273465
HG01050	PUR	AMR	181	131	259542	255178
NA19020	LWK	AFR	208	159	284328	287520
HG02300	PEL	AMR	196	133	235204	267145
NA20764	TSI	EUR	172	147	241430	257721
HG02785	PJL	SAS	192	129	244781	260497
HG03821	BEB	SAS	196	134	242767	262487
HG01779	IBS	EUR	169	160	245798	255459
HG02271	PEL	AMR	146	155	208031	283191
NA20785	TSI	EUR	193	126	247056	255004
HG03458	MSL	AFR	225	155	281256	288733
HG01628	IBS	EUR	174	151	246028	258072
HG00609	CHS	EAS	186	146	227850	272355
HG01630	IBS	EUR	180	134	250694	253270
HG03837	STU	SAS	163	160	215268	277594
NA20818	TSI	EUR	184	137	242601	256183
HG01952	PEL	AMR	169	143	219825	278429
HG03511	ESN	AFR	230	159	278493	285083
NA19247	YRI	AFR	192	158	274113	283335
HG00628	CHS	EAS	160	160	228522	272816
NA20351	ASW	AFR	237	141	290664	268021
HG01802	CDX	EAS	187	143	229416	275797
HG03796	BEB	SAS	221	123	247096	262425
NA18620	CHB	EAS	169	142	227747	275997
NA19740	MXL	AMR	160	157	235322	270496
HG01432	CLM	AMR	211	140	244425	259135
HG01357	CLM	AMR	192	143	242177	257254
HG02058	KHV	EAS	198	127	231290	270710
HG01873	KHV	EAS	175	142	230091	272925
NA19209	YRI	AFR	208	149	279552	282168
HG03854	STU	SAS	176	143	232674	269394
HG02610	GWD	AFR	213	155	275946	283064
HG01949	PEL	AMR	182	139	244246	268052
HG01864	KHV	EAS	174	174	230360	273246
NA19346	LWK	AFR	203	153	275781	286732
HG00409	CHS	EAS	162	152	225124	274465
HG00474	CHS	EAS	192	132	228302	272731
HG00685	CHS	EAS	151	155	228627	273658
HG01852	KHV	EAS	175	155	230630	274507
HG01350	CLM	AMR	177	151	246743	259553
HG04174	BEB	SAS	193	132	249840	261021
HG00635	CHS	EAS	163	155	224758	272865
HG00612	CHS	EAS	179	144	226541	273559
HG00982	CDX	EAS	179	146	225404	276963
HG02072	KHV	EAS	195	151	230947	272706
HG02408	CDX	EAS	161	155	224909	279084
HG04186	BEB	SAS	208	132	242794	264271
NA19685	MXL	AMR	184	148	247942	260280
NA18639	CHB	EAS	155	149	225733	276511
HG00451	CHS	EAS	184	146	223614	275531
HG00464	CHS	EAS	171	156	224835	274475
NA19173	YRI	AFR	205	153	277455	282021
NA18747	CHB	EAS	186	148	229929	276334
HG04106	STU	SAS	171	160	236299	264822
NA12874	CEU	EUR	198	131	235318	257867
HG02885	GWD	AFR	222	144	281615	279861
NA18542	CHB	EAS	169	146	229472	275243
NA18979	JPT	EAS	189	145	229456	275305
HG03672	STU	SAS	191	126	239555	263583
HG03908	BEB	SAS	203	135	244971	262488
HG02382	CDX	EAS	178	149	228902	276374
HG01358	CLM	AMR	187	146	247511	257266
HG03248	GWD	AFR	219	147	270677	283488
HG02152	CDX	EAS	167	157	226798	277953
NA18980	JPT	EAS	167	158	225850	278352
NA12817	CEU	EUR	160	139	243425	253319
HG03931	BEB	SAS	181	144	247028	260955
HG01866	KHV	EAS	175	149	227698	274911
NA18967	JPT	EAS	163	151	225072	277312
HG02136	KHV	EAS	186	133	230647	273560
HG02087	KHV	EAS	172	150	231779	272672
HG04191	BEB	SAS	189	146	241949	261903
NA19006	JPT	EAS	165	160	223676	278612
NA18622	CHB	EAS	167	152	228784	274228
HG01485	CLM	AMR	244	116	275644	259632
HG03391	MSL	AFR	189	166	282093	287535
NA19076	JPT	EAS	167	160	227280	276690
HG02523	KHV	EAS	180	144	230116	273074
HG04149	BEB	SAS	189	139	248623	258203
HG01859	KHV	EAS	187	161	226799	276402
HG03472	MSL	AFR	227	157	281020	288636
HG00308	FIN	EUR	186	142	236925	260113
HG03631	PJL	SAS	186	148	243399	259458
HG00446	CHS	EAS	176	142	227618	272289
NA19429	LWK	AFR	216	146	283673	285498
HG01970	PEL	AMR	139	152	207719	280351
HG04118	ITU	SAS	183	151	243594	263312
HG01685	IBS	EUR	196	136	247674	255210
HG00274	FIN	EUR	172	137	241445	258670
HG00282	FIN	EUR	194	144	243092	258179
HG03372	ESN	AFR	210	159	278769	284733
HG03888	STU	SAS	185	132	245365	261488
HG03694	STU	SAS	199	137	251000	259604
NA20801	TSI	EUR	187	128	242963	255292
HG02151	CDX	EAS	153	163	225863	276970
NA11920	CEU	EUR	160	143	245398	254556
HG02646	GWD	AFR	223	155	276948	283094
HG01615	IBS	EUR	177	134	245087	255352
HG00525	CHS	EAS	149	152	218857	276194
HG01248	PUR	AMR	209	127	260558	255349
HG01573	PEL	AMR	200	135	228428	271444
HG03015	PJL	SAS	173	149	243380	262377
NA19058	JPT	EAS	182	151	225305	276178
NA18605	CHB	EAS	188	137	225111	278083
HG02122	KHV	EAS	176	143	231218	273953
NA12006	CEU	EUR	149	147	241705	254732
NA20903	GIH	SAS	170	149	242933	262263
HG02339	ACB	AFR	225	165	273026	286841
HG00427	CHS	EAS	176	155	226041	273484
HG03809	BEB	SAS	213	150	244664	263723
NA18500	YRI	AFR	215	147	277444	282272
HG00125	GBR	EUR	179	142	241811	260656
NA10843	CEU	EUR	155	130	243652	254648
NA20905	GIH	SAS	194	140	247755	262435
HG01250	CLM	AMR	181	155	254472	257689
NA18633	CHB	EAS	169	145	229062	276497
HG00480	CHS	EAS	178	134	229157	272704
NA18537	CHB	EAS	173	139	228744	276140
NA19660	MXL	AMR	184	132	244198	262544
NA18636	CHB	EAS	182	153	231309	277546
NA20783	TSI	EUR	202	135	244784	258920
NA18641	CHB	EAS	189	136	228384	276717
HG03024	GWD	AFR	226	159	271037	283901
NA18648	CHB	EAS	180	132	229812	275533
HG01061	PUR	AMR	202	142	249400	256928
NA12828	CEU	EUR	180	133	241359	255419
HG00281	FIN	EUR	183	143	243733	259046
HG00323	FIN	EUR	178	144	239439	260963
HG00535	CHS	EAS	155	156	225722	273025
HG02685	PJL	SAS	174	143	232752	264973
NA18627	CHB	EAS	171	138	222138	277509
NA18640	CHB	EAS	172	150	227163	275279
HG02355	CDX	EAS	183	145	226102	277034
HG02383	CDX	EAS	188	147	226803	276433
HG00690	CHS	EAS	182	140	221956	273427
NA19087	JPT	EAS	141	152	227127	277068
HG02406	CDX	EAS	171	136	227234	276996
HG02133	KHV	EAS	175	144	231710	274721
HG03229	PJL	SAS	172	151	234497	267395
HG02154	CDX	EAS	169	150	223495	279171
NA18535	CHB	EAS	169	142	228734	276696
HG02029	KHV	EAS	177	153	231471	272526
HG02132	KHV	EAS	162	151	232920	271894
NA19449	LWK	AFR	208	162	283590	286751
HG02391	CDX	EAS	185	151	222320	279805
NA10855	CEU	EUR	172	141	241855	253101
HG02147	PEL	AMR	164	156	215720	278812
HG00418	CHS	EAS	180	148	228369	272919
NA18597	CHB	EAS	173	142	228527	276703
HG00654	CHS	EAS	182	151	227483	273619
HG00258	GBR	EUR	157	145	245394	258417
HG04094	ITU	SAS	212	135	239708	267571
HG02635	GWD	AFR	228	152	277519	282100
HG03955	STU	SAS	187	147	229317	269927
HG01763	IBS	EUR	184	134	246045	253570
HG01251	CLM	AMR	190	130	247660	256875
NA20531	TSI	EUR	175	149	237926	260473
NA12827	CEU	EUR	195	130	245674	251575
HG01756	IBS	EUR	211	117	246542	255272
