sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
HG01378	CLM	AMR	209	135	246867	256681
HG03780	ITU	SAS	193	142	245093	262863
HG00113	GBR	EUR	192	133	242006	258010
HG01171	PUR	AMR	203	139	263786	254573
HG00158	GBR	EUR	197	127	248301	257866
HG02127	KHV	EAS	176	163	229098	275484
HG00567	CHS	EAS	176	149	228493	272827
HG03778	ITU	SAS	169	146	247148	261886
HG00447	CHS	EAS	166	152	227924	271564
HG00365	FIN	EUR	180	131	245067	257816
NA19916	ASW	AFR	224	148	286628	282919
HG00154	GBR	EUR	174	141	243523	258687
HG02013	ACB	AFR	223	149	282773	283913
HG00320	FIN	EUR	183	149	240351	259815
HG02307	ACB	AFR	230	150	284118	279747
NA18644	CHB	EAS	164	143	224184	276969
HG01858	KHV	EAS	179	159	223822	276056
NA21133	GIH	SAS	196	140	245782	262012
HG00683	CHS	EAS	174	144	222385	274562
HG01711	IBS	EUR	190	130	246788	253089
HG01789	GBR	EUR	188	134	245259	257792
HG03681	STU	SAS	174	148	243886	263659
HG02691	PJL	SAS	195	143	243606	261029
NA19741	MXL	AMR	160	154	226046	275000
NA19726	MXL	AMR	197	133	242205	264690
NA18972	JPT	EAS	179	146	226506	277576
HG01797	CDX	EAS	154	161	225984	276067
HG03137	ESN	AFR	207	149	276109	284910
HG01276	CLM	AMR	186	146	250434	255267
HG01096	PUR	AMR	190	137	261511	253354
HG00420	CHS	EAS	156	159	227982	272640
HG03727	ITU	SAS	192	134	247075	262114
HG02819	GWD	AFR	195	155	277265	283952
HG02429	ACB	AFR	218	152	282151	280791
HG02237	IBS	EUR	177	135	242347	254984
NA18997	JPT	EAS	161	156	224188	278180
NA21110	GIH	SAS	200	141	244844	264802
HG01349	CLM	AMR	172	143	245437	256799
HG03793	BEB	SAS	183	144	244937	263269
NA18907	YRI	AFR	226	147	276792	283957
HG00700	CHS	EAS	177	142	225490	273850
HG01379	CLM	AMR	190	149	254690	257211
HG04096	ITU	SAS	158	156	224890	272340
HG00384	FIN	EUR	168	147	240647	258295
HG01528	IBS	EUR	183	143	243435	256379
NA12801	CEU	EUR	192	134	245815	251343
HG02481	ACB	AFR	228	150	281807	280507
HG02374	CDX	EAS	169	159	229422	275475
NA19664	MXL	AMR	191	130	248923	262942
HG00502	CHS	EAS	158	146	229518	270784
HG02722	GWD	AFR	232	161	275753	284062
NA18526	CHB	EAS	174	144	228183	275951
HG02380	CDX	EAS	154	131	212126	283341
HG02401	CDX	EAS	172	158	226808	277759
HG02655	PJL	SAS	175	130	230992	266908
NA12814	CEU	EUR	194	143	244031	253491
HG03905	BEB	SAS	178	145	245017	261613
HG03572	MSL	AFR	218	157	281884	288218
NA21114	GIH	SAS	183	142	244846	264087
HG03660	PJL	SAS	183	132	245192	259167
HG01941	PEL	AMR	164	161	230622	271989
NA18549	CHB	EAS	149	159	227515	275871
HG02733	PJL	SAS	198	138	245455	257591
HG00309	FIN	EUR	168	145	242616	257800
NA06995	CEU	EUR	193	135	241549	253217
HG02882	GWD	AFR	206	159	276100	282745
HG02699	PJL	SAS	195	136	233722	265084
HG02883	GWD	AFR	206	157	279691	280486
NA19092	YRI	AFR	213	154	276418	283290
HG00619	CHS	EAS	176	145	221647	274356
HG02818	GWD	AFR	233	161	277665	281503
HG00530	CHS	EAS	172	147	225386	274100
HG02410	CDX	EAS	178	152	227144	275281
NA21112	GIH	SAS	194	142	244747	265142
HG01441	CLM	AMR	175	150	245430	258409
HG02814	GWD	AFR	218	152	279612	281209
NA19680	MXL	AMR	201	128	253469	256376
NA18867	YRI	AFR	224	139	279657	282666
NA19792	MXL	AMR	209	141	254328	259009
NA12282	CEU	EUR	178	144	242085	254844
NA19146	YRI	AFR	213	153	276409	283698
HG00253	GBR	EUR	170	133	245267	257747
NA11881	CEU	EUR	183	137	243374	254130
HG02737	PJL	SAS	185	135	246409	257877
HG02439	ACB	AFR	217	148	282226	282483
HG01945	PEL	AMR	170	138	225260	272140
NA21087	GIH	SAS	156	155	243324	263275
HG02240	IBS	EUR	168	138	247438	254773
HG01572	PEL	AMR	179	157	212228	279462
NA20510	TSI	EUR	174	138	239520	258276
NA19446	LWK	AFR	239	136	279953	286595
HG00636	CHS	EAS	153	163	226443	272379
HG03900	STU	SAS	195	132	238064	265380
HG03683	STU	SAS	192	148	243781	263113
HG03679	STU	SAS	162	153	242717	262719
NA10856	CEU	EUR	192	135	245964	252637
HG01353	CLM	AMR	194	140	253869	252705
NA10836	CEU	EUR	168	148	244316	253424
NA18949	JPT	EAS	154	158	224691	276915
HG01672	IBS	EUR	180	143	243017	255564
HG03641	PJL	SAS	188	131	242253	261451
NA19116	YRI	AFR	233	148	278157	280993
HG00733	PUR	AMR	180	135	244498	257130
HG04216	ITU	SAS	214	134	240853	265094
NA19675	MXL	AMR	192	132	253062	256234
HG01377	CLM	AMR	191	142	259903	256030
NA20538	TSI	EUR	190	128	239318	258819
HG00582	CHS	EAS	165	151	228841	271669
HG02144	ACB	AFR	226	158	284727	279951
HG02420	ACB	AFR	231	123	289617	259040
HG02965	ESN	AFR	226	144	278448	282723
HG01940	PEL	AMR	161	144	223582	274773
HG01361	CLM	AMR	189	143	251012	256673
NA20509	TSI	EUR	171	149	243313	258275
NA07357	CEU	EUR	178	132	240504	255001
HG01919	PEL	AMR	155	160	226865	271627
HG00476	CHS	EAS	173	147	224054	275811
NA20862	GIH	SAS	215	117	244984	260756
NA10846	CEU	EUR	181	131	241699	252624
HG01687	IBS	EUR	195	140	250528	252750
NA20581	TSI	EUR	175	147	242363	257690
NA18994	JPT	EAS	171	153	228613	275662
HG03313	ESN	AFR	226	150	272217	285949
HG00260	GBR	EUR	172	140	241145	259808
HG02031	KHV	EAS	188	150	231445	275237
HG02584	GWD	AFR	213	164	275784	282521
NA20870	GIH	SAS	182	143	244947	261843
HG01274	CLM	AMR	181	146	249269	256587
HG00318	FIN	EUR	192	131	242645	256913
HG01359	CLM	AMR	195	142	251385	256265
HG03127	ESN	AFR	218	138	274952	286277
HG03258	GWD	AFR	214	161	276785	282165
HG01696	IBS	EUR	196	130	252053	252682
NA18592	CHB	EAS	156	158	225310	276911
HG03595	BEB	SAS	191	141	248276	260434
HG02572	GWD	AFR	209	156	276949	281728
NA19235	YRI	AFR	209	149	273608	284727
NA19751	MXL	AMR	181	138	247301	259028
HG00155	GBR	EUR	173	142	242386	259812
HG04146	BEB	SAS	185	130	243790	261908
HG03729	ITU	SAS	191	137	245601	263062
HG03018	PJL	SAS	200	139	243549	261338
HG02479	ACB	AFR	210	159	282552	280200
HG00266	FIN	EUR	192	139	245797	258754
HG01508	IBS	EUR	199	134	246898	254204
NA19678	MXL	AMR	177	138	258440	254725
HG02682	PJL	SAS	197	136	245268	260300
HG02398	CDX	EAS	177	157	225678	277994
HG02054	ACB	AFR	204	159	282828	279765
NA18510	YRI	AFR	202	138	278067	280858
HG04195	BEB	SAS	182	147	243041	262567
HG03771	ITU	SAS	184	160	241036	264886
HG03611	BEB	SAS	190	141	248265	259519
NA20529	TSI	EUR	174	153	238539	260747
NA12830	CEU	EUR	176	143	244411	254470
HG00867	CDX	EAS	166	149	227103	277645
HG02312	PEL	AMR	188	149	241395	264182
NA18908	YRI	AFR	218	155	277653	281923
NA21137	GIH	SAS	185	139	242881	264927
HG01694	IBS	EUR	190	126	245102	256792
NA20540	TSI	EUR	160	135	239555	257737
NA20775	TSI	EUR	160	148	245044	255300
NA11832	CEU	EUR	183	137	242254	255962
HG01798	CDX	EAS	168	167	229553	275038
NA19456	LWK	AFR	222	154	283920	285825
NA19760	MXL	AMR	173	158	230105	270991
HG02275	PEL	AMR	152	151	210783	281509
HG02600	PJL	SAS	170	149	248384	260249
HG03162	ESN	AFR	241	152	276271	284735
HG04099	STU	SAS	169	154	246355	261532
HG01939	PEL	AMR	151	149	231495	270346
HG03792	ITU	SAS	166	163	237834	267271
HG01631	IBS	EUR	197	142	243172	255039
HG02494	PJL	SAS	189	141	244634	258777
HG01934	PEL	AMR	170	152	238282	268211
HG00257	GBR	EUR	191	149	244811	257183
NA18860	YRI	AFR	223	146	275946	283442
HG04183	BEB	SAS	176	143	246432	260847
HG03164	ESN	AFR	207	155	277479	283752
HG00658	CHS	EAS	172	148	228825	271186
HG00122	GBR	EUR	194	131	246119	258008
HG00740	PUR	AMR	189	149	256950	256076
NA19777	MXL	AMR	193	130	256019	261000
HG01461	CLM	AMR	183	147	259337	259000
HG01493	CLM	AMR	191	137	246739	255936
HG00478	CHS	EAS	169	151	224000	274624
HG01278	CLM	AMR	180	143	246580	257682
HG00655	CHS	EAS	184	140	228821	271290
NA19713	ASW	AFR	223	139	286031	273620
HG01392	PUR	AMR	200	133	259487	255674
HG03805	BEB	SAS	194	136	250218	260276
NA20792	TSI	EUR	184	144	244366	256623
HG03576	MSL	AFR	224	154	279554	288757
HG03064	MSL	AFR	219	154	279407	290323
NA19094	YRI	AFR	204	153	274968	283021
NA12329	CEU	EUR	189	137	242263	252444
NA18976	JPT	EAS	174	145	223752	278955
NA19434	LWK	AFR	219	149	282003	285535
HG02156	CDX	EAS	178	148	227233	278791
HG02146	PEL	AMR	158	146	207962	281461
HG03773	ITU	SAS	160	156	239869	267404
NA20359	ASW	AFR	215	149	277877	277715
HG02266	PEL	AMR	152	159	216987	278137
HG01058	PUR	AMR	214	131	258914	254353
HG04184	BEB	SAS	167	142	248162	258632
NA19002	JPT	EAS	174	156	226620	276208
NA20861	GIH	SAS	178	143	240792	265693
NA18489	YRI	AFR	224	164	282114	280817
HG02090	PEL	AMR	174	133	251288	263278
NA19984	ASW	AFR	217	147	286732	279936
HG03297	ESN	AFR	209	145	275865	285389
HG01872	KHV	EAS	192	137	229857	274848
HG04076	ITU	SAS	177	140	241844	264961
HG00444	CHS	EAS	171	150	225778	272278
HG02130	KHV	EAS	164	145	231083	272754
NA19922	ASW	AFR	212	146	283648	272045
HG03989	STU	SAS	200	136	242886	264749
HG02060	KHV	EAS	170	144	228322	275742
NA19397	LWK	AFR	228	135	280078	286349
HG03832	BEB	SAS	179	149	246836	262684
HG03198	ESN	AFR	235	145	276228	283957
NA18984	JPT	EAS	161	155	218924	280398
HG02895	GWD	AFR	203	164	272492	284013
HG04235	ITU	SAS	184	140	243438	264131
HG01107	PUR	AMR	212	132	269456	255054
HG03445	MSL	AFR	234	146	282160	288822
HG02463	GWD	AFR	209	147	278750	280469
HG02541	ACB	AFR	218	156	284021	274984
HG00459	CHS	EAS	160	150	225719	273514
NA18521	YRI	AFR	219	150	276567	281622
HG01389	CLM	AMR	181	147	237847	264041
HG01197	PUR	AMR	197	131	251300	255258
HG03646	STU	SAS	179	135	242785	261941
NA19060	JPT	EAS	186	139	224864	277150
NA07019	CEU	EUR	177	136	244993	252571
NA12843	CEU	EUR	195	138	241882	254601
HG02348	PEL	AMR	169	151	223963	273636
NA20332	ASW	AFR	204	156	285744	275462
HG02231	IBS	EUR	175	141	244125	255293
HG01991	PEL	AMR	177	149	226698	271780
HG03682	STU	SAS	180	153	244050	263817
HG02409	CDX	EAS	169	150	227548	277251
HG03857	STU	SAS	196	122	244125	262707
HG01101	PUR	AMR	197	140	259478	257720
HG02074	KHV	EAS	174	152	228481	273136
HG00634	CHS	EAS	166	150	225821	272824
HG03825	BEB	SAS	198	131	243831	261638
HG02008	PEL	AMR	160	147	225033	274184
HG03069	MSL	AFR	213	158	284756	287870
NA20334	ASW	AFR	223	145	285548	269244
HG00369	FIN	EUR	189	128	246390	256743
NA18548	CHB	EAS	198	142	226609	277338
NA12766	CEU	EUR	187	126	245959	250501
HG01253	CLM	AMR	209	128	255189	254922
HG01857	KHV	EAS	174	143	228727	273991
NA18988	JPT	EAS	146	145	221851	279631
HG02343	ACB	AFR	209	166	282638	274299
HG02433	ACB	AFR	224	140	283272	277233
HG03930	BEB	SAS	174	135	245388	261514
HG03884	STU	SAS	191	144	234143	267566
HG01785	IBS	EUR	185	146	246160	254523
HG02495	PJL	SAS	192	136	247895	257792
HG02120	KHV	EAS	180	144	231353	272221
HG00234	GBR	EUR	190	144	241332	258849
HG00145	GBR	EUR	177	142	244037	259639
HG00864	CDX	EAS	189	150	229296	275766
HG01880	ACB	AFR	228	154	289111	261502
HG00524	CHS	EAS	166	160	227852	271422
HG00143	GBR	EUR	184	137	242380	257472
HG03945	STU	SAS	180	137	240162	264418
NA21093	GIH	SAS	194	164	244807	264423
HG04194	BEB	SAS	167	144	244719	261099
HG03200	ESN	AFR	230	139	276712	283478
HG02375	CDX	EAS	173	160	225695	277478
HG02696	PJL	SAS	178	146	250949	255878
HG00589	CHS	EAS	174	150	222430	275044
NA18646	CHB	EAS	187	144	225173	276502
NA19921	ASW	AFR	202	139	285462	267910
HG03054	MSL	AFR	209	153	278143	288837
HG03710	PJL	SAS	180	132	248221	258567
HG03598	BEB	SAS	160	154	238818	264444
HG00443	CHS	EAS	176	134	227533	272845
NA19205	YRI	AFR	228	161	277734	281697
HG04151	BEB	SAS	168	150	243049	262072
NA10839	CEU	EUR	178	129	242814	253136
NA10863	CEU	EUR	178	135	241126	253528
HG00653	CHS	EAS	175	135	230676	270800
NA20355	ASW	AFR	224	150	283661	278697
NA19070	JPT	EAS	174	148	227272	275899
HG01200	PUR	AMR	195	143	246192	257958
HG00554	PUR	AMR	214	128	254331	253463
HG03074	MSL	AFR	217	142	277202	290533
NA21144	GIH	SAS	175	145	238665	267864
HG01878	KHV	EAS	168	148	229763	273822
NA19066	JPT	EAS	179	133	225164	277583
HG02450	ACB	AFR	213	155	282879	280087
HG02770	GWD	AFR	239	146	278244	281758
HG01187	PUR	AMR	198	127	255265	256709
HG03806	BEB	SAS	186	135	246234	261121
HG02379	CDX	EAS	162	161	226043	277443
HG01981	PEL	AMR	173	145	236308	266858
HG03242	GWD	AFR	207	163	271030	286192
HG02477	ACB	AFR	214	148	284558	276402
NA19384	LWK	AFR	224	142	281608	286343
NA19225	YRI	AFR	183	167	277666	281470
HG03784	ITU	SAS	188	151	238006	268578
NA19728	MXL	AMR	159	155	212342	280982
HG00111	GBR	EUR	179	132	237821	258227
HG02385	CDX	EAS	179	140	225771	277683
NA20863	GIH	SAS	181	154	244834	262432
HG03763	PJL	SAS	206	142	248374	258808
HG02262	PEL	AMR	167	146	226458	270829
HG03133	ESN	AFR	202	161	277957	283367
NA19177	YRI	AFR	215	146	277293	282557
NA18647	CHB	EAS	179	135	228467	276027
HG02277	PEL	AMR	151	147	231676	268916
HG02016	KHV	EAS	176	147	234457	271503
HG00627	CHS	EAS	176	158	225515	273543
HG03131	ESN	AFR	226	155	277988	284863
HG01066	PUR	AMR	207	133	252209	255607
HG00267	FIN	EUR	189	148	241810	259409
HG03548	MSL	AFR	224	145	280506	289734
HG02138	KHV	EAS	165	154	228679	274931
NA19042	LWK	AFR	218	148	281333	284573
HG01968	PEL	AMR	153	144	210373	279681
NA20506	TSI	EUR	181	151	239821	258820
HG01926	PEL	AMR	160	154	203936	284453
HG02511	ACB	AFR	208	159	284943	280897
HG03480	MSL	AFR	183	156	280270	287721
HG00630	CHS	EAS	177	136	228690	271908
HG01302	PUR	AMR	182	144	258483	254078
HG01345	CLM	AMR	192	145	252133	256947
NA12775	CEU	EUR	192	133	245803	251735
HG00532	CHS	EAS	186	142	227147	273096
NA18628	CHB	EAS	158	167	227693	276419
NA20828	TSI	EUR	194	126	244413	256975
HG03685	STU	SAS	186	138	243834	263952
HG03280	ESN	AFR	198	155	276605	287363
NA19712	ASW	AFR	187	165	282468	282609
NA19323	LWK	AFR	219	138	282356	284469
HG02394	CDX	EAS	168	160	224683	277457
HG02142	KHV	EAS	161	144	234532	270412
HG01978	PEL	AMR	165	156	228976	270657
HG03271	ESN	AFR	221	150	274437	285103
HG02887	GWD	AFR	210	162	271543	285343
HG02508	ACB	AFR	215	156	280730	282326
NA18522	YRI	AFR	223	147	276594	282545
HG04153	BEB	SAS	179	134	248894	260296
NA19332	LWK	AFR	247	144	283697	284686
HG01305	PUR	AMR	216	137	259426	257721
HG04093	ITU	SAS	160	157	240521	264403
HG03680	STU	SAS	186	141	244149	262103
HG03807	BEB	SAS	195	137	244911	262635
HG03012	BEB	SAS	177	145	245060	262946
NA06989	CEU	EUR	200	130	239140	254477
HG01249	PUR	AMR	170	148	254296	254018
HG04206	ITU	SAS	187	144	240859	264456
HG02445	ACB	AFR	192	153	283227	274451
HG00250	GBR	EUR	187	139	243297	258907
HG01486	CLM	AMR	190	147	248499	256879
HG02389	CDX	EAS	158	163	223941	278765
HG02493	PJL	SAS	212	123	249426	258867
HG03027	GWD	AFR	207	160	273479	284698
HG01312	PUR	AMR	195	150	256221	256743
HG02076	KHV	EAS	186	157	230361	273417
NA12274	CEU	EUR	188	138	242338	254049
HG02153	CDX	EAS	153	153	227841	276663
NA21123	GIH	SAS	204	129	245854	263010
HG00101	GBR	EUR	196	127	244014	258008
HG02649	PJL	SAS	198	132	232938	264761
NA18634	CHB	EAS	187	142	224787	278029
HG03942	BEB	SAS	203	132	242496	264045
NA21118	GIH	SAS	198	141	242851	263828
HG02070	KHV	EAS	164	160	229680	273323
HG01997	PEL	AMR	157	159	218576	277521
NA19461	LWK	AFR	206	161	285825	285571
HG01550	CLM	AMR	208	134	254091	254996
HG00650	CHS	EAS	174	149	230464	271713
NA19440	LWK	AFR	221	152	282807	286296
HG02603	PJL	SAS	188	141	244699	261037
NA19648	MXL	AMR	183	148	240781	261284
HG00261	GBR	EUR	180	144	239788	259449
HG03091	MSL	AFR	202	159	280257	288211
HG03785	ITU	SAS	184	140	237047	267959
HG03716	ITU	SAS	199	146	245932	261773
HG00565	CHS	EAS	172	143	224842	274641
NA19203	YRI	AFR	203	161	277644	283444
HG00338	FIN	EUR	195	142	240275	257888
HG03009	BEB	SAS	192	132	248717	262231
HG01579	PEL	AMR	155	145	246360	259425
HG01604	IBS	EUR	199	134	248178	252483
NA18861	YRI	AFR	214	145	277490	283052
HG00278	FIN	EUR	175	143	242156	259204
NA12718	CEU	EUR	176	131	244457	253277
HG03817	BEB	SAS	201	133	241632	263627
NA18947	JPT	EAS	174	143	228156	276412
HG01613	IBS	EUR	171	151	244017	256462
HG00407	CHS	EAS	154	151	231557	272202
HG02525	KHV	EAS	179	145	225240	275707
HG03944	STU	SAS	168	149	238072	267211
HG02662	PJL	SAS	199	133	247560	257808
HG00357	FIN	EUR	166	145	240691	259151
HG02681	PJL	SAS	195	151	247299	257568
NA12832	CEU	EUR	176	149	239936	253107
HG04214	ITU	SAS	202	136	242743	262705
NA11829	CEU	EUR	172	143	247269	253025
NA19171	YRI	AFR	204	145	274655	283835
HG03826	BEB	SAS	176	131	243616	263091
HG00445	CHS	EAS	157	154	227708	274373
HG01103	PUR	AMR	184	142	258195	256247
HG01625	IBS	EUR	177	143	245601	254696
NA18945	JPT	EAS	165	163	226658	276859
HG00148	GBR	EUR	183	117	244901	258542
HG01258	CLM	AMR	184	137	246535	256415
HG01955	PEL	AMR	166	146	217873	277395
HG03697	STU	SAS	208	122	240726	265458
NA18602	CHB	EAS	163	159	228922	276523
NA07347	CEU	EUR	179	139	239083	256840
HG02083	KHV	EAS	163	153	228806	273257
NA21095	GIH	SAS	187	153	232434	268749
HG03112	ESN	AFR	205	147	276359	284204
NA20875	GIH	SAS	189	143	242845	263274
NA19729	MXL	AMR	157	162	222970	276883
HG01683	IBS	EUR	168	140	244496	254557
HG02360	CDX	EAS	176	141	227990	276746
NA19027	LWK	AFR	207	154	278876	285465
HG02364	CDX	EAS	203	129	228445	277794
HG02179	CDX	EAS	164	156	230270	275955
HG01673	IBS	EUR	177	142	242967	256265
HG02869	GWD	AFR	231	138	277844	280628
NA12890	CEU	EUR	169	150	242624	256181
NA18943	JPT	EAS	168	142	225430	277337
NA19191	YRI	AFR	219	150	276157	283812
NA20530	TSI	EUR	171	146	243217	256621
HG01510	IBS	EUR	173	140	246595	254230
HG00473	CHS	EAS	169	148	227198	275629
HG00410	CHS	EAS	187	157	230063	273363
HG01168	PUR	AMR	192	137	248527	255140
NA19463	LWK	AFR	216	151	282417	285838
NA19063	JPT	EAS	168	139	229452	276160
HG02024	KHV	EAS	164	133	228755	273612
HG00335	FIN	EUR	178	148	239662	259017
HG02182	CDX	EAS	169	149	226701	276431
HG04036	STU	SAS	180	146	243693	262044
HG03947	STU	SAS	186	131	246225	262069
NA12343	CEU	EUR	160	135	240771	253879
HG00729	CHS	EAS	163	161	226208	273343
HG01303	PUR	AMR	191	132	250573	255697
NA07045	CEU	EUR	182	134	241515	253902
NA19919	ASW	AFR	221	143	282547	281510
NA18606	CHB	EAS	158	152	219802	279393
HG01178	PUR	AMR	200	130	255493	257046
HG00593	CHS	EAS	164	168	224260	274763
HG00376	FIN	EUR	179	147	241613	258597
HG01632	IBS	EUR	177	138	244537	257296
HG04202	ITU	SAS	176	140	239289	265469
NA07031	CEU	EUR	166	134	241725	252217
HG01773	IBS	EUR	169	140	245856	254242
NA18538	CHB	EAS	168	142	229595	275571
HG01846	KHV	EAS	184	162	227281	275092
HG02514	KHV	EAS	188	138	230792	273781
HG01668	IBS	EUR	169	133	249587	253000
HG02809	GWD	AFR	242	154	277703	280692
HG00242	GBR	EUR	195	135	244602	256154
HG03596	BEB	SAS	209	123	247733	260697
HG01627	IBS	EUR	167	144	248608	250976
HG01260	CLM	AMR	199	142	257964	257304
HG04003	STU	SAS	184	146	244839	260519
NA07022	CEU	EUR	180	142	244928	253178
HG03992	STU	SAS	192	139	245480	261054
NA18532	CHB	EAS	148	157	225912	277757
HG00561	CHS	EAS	170	143	228015	272210
HG02656	PJL	SAS	182	136	245401	258898
HG02689	PJL	SAS	175	141	243422	261542
NA20525	TSI	EUR	183	142	238132	259125
HG01347	CLM	AMR	210	130	242252	257322
NA18853	YRI	AFR	231	141	278800	282087
HG03977	ITU	SAS	194	140	243049	266756
NA19725	MXL	AMR	210	144	249612	259394
HG03974	ITU	SAS	167	143	244415	264381
HG04210	STU	SAS	184	144	242473	263236
NA20787	TSI	EUR	183	128	241798	259823
HG02145	ACB	AFR	227	156	286388	274140
HG00238	GBR	EUR	174	146	239632	260730
HG02392	CDX	EAS	188	154	219619	280555
NA20827	TSI	EUR	179	141	242114	257412
HG02250	CDX	EAS	165	163	227029	277455
HG01775	IBS	EUR	174	129	244591	255185
NA20894	GIH	SAS	173	148	242906	263070
HG04047	STU	SAS	191	145	241534	264692
HG00373	FIN	EUR	174	135	238680	260482
NA11918	CEU	EUR	158	138	241410	254233
NA07346	CEU	EUR	172	133	243987	253292
HG03234	PJL	SAS	195	139	243938	258037
NA20763	TSI	EUR	199	127	245068	254405
HG00557	CHS	EAS	161	153	227815	275606
HG03669	PJL	SAS	178	151	248781	257909
HG01199	PUR	AMR	201	135	258519	254485
HG02050	KHV	EAS	175	143	229494	273302
HG03696	STU	SAS	168	156	211218	280022
HG01620	IBS	EUR	187	137	244468	256061
HG00285	FIN	EUR	170	155	238249	261307
NA20753	TSI	EUR	203	139	239693	260534
NA19095	YRI	AFR	202	162	272318	286021
HG02215	GBR	EUR	184	152	241675	258132
NA18615	CHB	EAS	190	145	228696	275640
HG03714	ITU	SAS	176	139	247381	262434
NA20758	TSI	EUR	196	155	244232	258087
HG03934	BEB	SAS	184	145	247716	262339
HG01774	IBS	EUR	173	144	245628	253792
NA20517	TSI	EUR	187	136	240413	258959
HG02395	CDX	EAS	173	151	229683	277000
HG02235	IBS	EUR	173	143	245946	254630
HG02726	PJL	SAS	173	146	240867	261676
HG02148	PEL	AMR	161	151	214524	276898
HG00366	FIN	EUR	181	140	242586	259570
HG01552	CLM	AMR	215	135	268300	255260
HG03861	ITU	SAS	162	140	235987	267785
NA18541	CHB	EAS	172	145	225599	277100
NA19004	JPT	EAS	165	152	223988	277449
NA18567	CHB	EAS	164	148	226027	277611
HG00577	CHS	EAS	184	147	225210	273621
NA19785	MXL	AMR	171	156	238201	270248
NA19651	MXL	AMR	184	135	257730	258068
HG02106	PEL	AMR	150	143	215136	276797
HG04156	BEB	SAS	191	149	245524	261380
NA18993	JPT	EAS	179	141	224915	276016
NA18856	YRI	AFR	214	149	277453	282990
HG00109	GBR	EUR	182	143	244026	257779
HG02840	GWD	AFR	205	156	272566	282150
NA19249	YRI	AFR	184	153	276655	282322
HG02773	GWD	AFR	229	147	276743	282901
HG01623	IBS	EUR	186	141	247954	255740
HG00271	FIN	EUR	189	150	241857	261104
HG00245	GBR	EUR	170	149	243812	258635
NA12383	CEU	EUR	184	132	242947	254283
HG00741	PUR	AMR	209	135	255766	254337
NA10830	CEU	EUR	174	140	243353	253841
NA19401	LWK	AFR	228	151	282224	286176
NA19189	YRI	AFR	197	162	274460	284436
HG02611	GWD	AFR	214	164	271657	284321
NA06984	CEU	EUR	174	156	242461	253132
HG02871	GWD	AFR	213	155	278768	281985
HG03894	STU	SAS	200	131	239084	267551
HG03913	BEB	SAS	189	147	246141	261439
NA20886	GIH	SAS	193	145	236770	266370
NA19131	YRI	AFR	210	150	279619	281225
NA20822	TSI	EUR	189	135	242616	259358
HG01520	IBS	EUR	166	140	239137	254482
HG00239	GBR	EUR	185	154	239726	260117
HG00583	CHS	EAS	184	135	224426	272401
HG02181	CDX	EAS	174	149	231192	275078
NA07348	CEU	EUR	170	135	245751	251317
HG00579	CHS	EAS	173	168	225422	274433
NA07048	CEU	EUR	152	152	244361	255560
HG02150	PEL	AMR	162	165	210641	280664
HG02582	GWD	AFR	227	148	276101	284072
HG03594	BEB	SAS	209	119	243102	262712
HG01953	PEL	AMR	162	159	217794	277381
HG03743	STU	SAS	194	137	239004	266831
HG01799	CDX	EAS	152	157	222784	278841
NA12005	CEU	EUR	165	140	238598	255449
NA18515	YRI	AFR	204	168	277849	281995
HG02069	KHV	EAS	164	142	231006	273355
HG03491	PJL	SAS	184	132	246957	260694
HG02040	KHV	EAS	150	149	233124	273596
HG03949	STU	SAS	171	144	241218	264008
HG00132	GBR	EUR	188	143	242309	260017
HG02684	PJL	SAS	161	151	214161	275963
HG02180	CDX	EAS	187	137	229071	276369
HG01447	CLM	AMR	198	141	255090	256043
HG01622	IBS	EUR	189	141	247316	254687
HG03247	GWD	AFR	194	158	277849	281827
HG00691	CHS	EAS	166	146	225833	272515
HG00181	FIN	EUR	196	137	247849	256418
HG00585	CHS	EAS	161	147	224764	274493
HG01502	IBS	EUR	190	139	245565	253595
HG01531	IBS	EUR	167	144	240977	258010
NA12753	CEU	EUR	172	142	239966	256077
HG02425	PEL	AMR	194	145	245566	264012
HG04029	STU	SAS	205	130	237848	265987
NA10837	CEU	EUR	174	144	244531	254229
HG03159	ESN	AFR	214	159	277537	284950
HG01609	IBS	EUR	186	133	250244	251777
HG02281	ACB	AFR	212	171	279668	284424
NA20543	TSI	EUR	180	127	246065	257007
HG00326	FIN	EUR	180	143	243520	258533
HG01972	PEL	AMR	170	137	248996	263709
NA19775	MXL	AMR	191	145	250959	258555
HG00621	CHS	EAS	171	145	225571	273344
HG02442	ACB	AFR	233	148	279786	284817
NA19078	JPT	EAS	164	157	220430	278811
NA18516	YRI	AFR	215	159	276290	284445
NA20872	GIH	SAS	172	155	242174	263400
HG01935	PEL	AMR	176	136	227668	270028
NA12236	CEU	EUR	153	148	241838	254635
HG01365	CLM	AMR	181	144	260159	254968
HG00244	GBR	EUR	170	136	242865	257906
HG02853	GWD	AFR	198	166	276551	281963
HG00448	CHS	EAS	162	145	224637	273882
HG02686	PJL	SAS	177	152	242500	260916
HG03644	STU	SAS	177	137	242181	263911
NA18941	JPT	EAS	163	140	225018	276071
NA18985	JPT	EAS	163	153	223779	278680
NA18577	CHB	EAS	167	155	228463	276164
NA12336	CEU	EUR	186	132	242019	253575
